Date,Close,High,Low,Open,Volume
01/06/2021,4202.040039,4234.120117,4197.589844,4216.52002,5074670000
02/06/2021,4208.120117,4217.370117,4198.27002,4206.819824,5833670000
03/06/2021,4192.850098,4204.390137,4167.930176,4191.430176,5587970000
04/06/2021,4229.890137,4233.450195,4206.049805,4206.049805,4139790000
07/06/2021,4226.52002,4232.339844,4215.660156,4229.339844,4476920000
08/06/2021,4227.259766,4236.740234,4208.410156,4233.810059,4659620000
09/06/2021,4219.549805,4237.089844,4218.740234,4232.990234,4713260000
10/06/2021,4239.180176,4249.740234,4220.339844,4228.560059,4408210000
11/06/2021,4247.439941,4248.379883,4232.25,4242.899902,3815010000
14/06/2021,4255.149902,4255.589844,4234.069824,4248.310059,4151200000
15/06/2021,4246.589844,4257.160156,4238.350098,4255.279785,4048940000
16/06/2021,4223.700195,4251.890137,4202.450195,4248.870117,4538350000
17/06/2021,4221.859863,4232.290039,4196.049805,4220.370117,5312680000
18/06/2021,4166.450195,4204.779785,4164.399902,4204.779785,6817010000
21/06/2021,4224.790039,4226.240234,4173.399902,4173.399902,4128950000
22/06/2021,4246.439941,4255.839844,4217.27002,4224.609863,3828390000
23/06/2021,4241.839844,4256.600098,4241.430176,4249.27002,3730350000
24/06/2021,4266.490234,4271.279785,4256.970215,4256.970215,3816660000
25/06/2021,4280.700195,4286.120117,4271.160156,4274.450195,7341450000
28/06/2021,4290.609863,4292.140137,4274.669922,4284.899902,4147890000
29/06/2021,4291.799805,4300.52002,4287.040039,4293.209961,3707150000
30/06/2021,4297.5,4302.430176,4287.959961,4290.649902,4266040000
01/07/2021,4319.939941,4320.660156,4300.72998,4300.72998,3788230000
02/07/2021,4352.339844,4355.430176,4326.600098,4326.600098,3225840000
06/07/2021,4343.540039,4356.459961,4314.370117,4356.459961,4309570000
07/07/2021,4358.129883,4361.879883,4329.790039,4351.009766,4037380000
08/07/2021,4320.819824,4330.879883,4289.370117,4321.069824,4347500000
09/07/2021,4369.549805,4371.600098,4329.379883,4329.379883,3531120000
12/07/2021,4384.629883,4386.680176,4364.029785,4372.410156,3384460000
13/07/2021,4369.209961,4392.370117,4366.919922,4381.069824,3695430000
14/07/2021,4374.299805,4393.680176,4362.359863,4380.109863,4006370000
15/07/2021,4360.029785,4369.02002,4340.700195,4369.02002,3905230000
16/07/2021,4327.160156,4375.089844,4322.529785,4367.430176,3985700000
19/07/2021,4258.490234,4296.399902,4233.129883,4296.399902,5157660000
20/07/2021,4323.060059,4336.839844,4262.049805,4265.109863,4438270000
21/07/2021,4358.689941,4359.700195,4331.129883,4331.129883,3810280000
22/07/2021,4367.47998,4369.870117,4350.060059,4361.27002,3358300000
23/07/2021,4411.790039,4415.180176,4381.200195,4381.200195,4540070000
26/07/2021,4422.299805,4422.72998,4405.450195,4409.580078,4275630000
27/07/2021,4401.459961,4416.379883,4372.509766,4416.379883,4241950000
28/07/2021,4400.640137,4415.470215,4387.009766,4402.950195,4215290000
29/07/2021,4419.149902,4429.970215,4403.589844,4403.589844,4044600000
30/07/2021,4395.259766,4412.25,4389.649902,4395.120117,3956740000
02/08/2021,4387.160156,4422.180176,4384.810059,4406.859863,3724090000
03/08/2021,4423.149902,4423.790039,4373,4392.740234,3965190000
04/08/2021,4402.660156,4416.169922,4400.22998,4415.950195,4260760000
05/08/2021,4429.100098,4429.759766,4408.859863,4408.859863,3769410000
06/08/2021,4436.52002,4440.819824,4429.069824,4429.069824,3451870000
09/08/2021,4432.350098,4439.390137,4424.740234,4437.77002,3449280000
10/08/2021,4436.75,4445.209961,4430.029785,4435.790039,3886610000
11/08/2021,4442.410156,4449.439941,4436.419922,4442.180176,3532560000
12/08/2021,4460.830078,4461.77002,4435.959961,4446.080078,3375310000
13/08/2021,4468,4468.370117,4460.819824,4464.839844,3016470000
16/08/2021,4479.709961,4480.259766,4437.660156,4461.649902,3370640000
17/08/2021,4448.080078,4462.120117,4417.830078,4462.120117,3836960000
18/08/2021,4400.27002,4454.319824,4397.589844,4440.939941,3755590000
19/08/2021,4405.799805,4418.609863,4367.72998,4382.439941,4398410000
20/08/2021,4441.669922,4444.350098,4406.799805,4410.560059,3652610000
23/08/2021,4479.529785,4489.879883,4450.290039,4450.290039,3576530000
24/08/2021,4486.22998,4492.810059,4482.279785,4484.399902,3979220000
25/08/2021,4496.189941,4501.709961,4485.660156,4490.450195,3444700000
26/08/2021,4470,4495.899902,4468.990234,4493.75,3263980000
27/08/2021,4509.370117,4513.330078,4474.100098,4474.100098,3331200000
30/08/2021,4528.790039,4537.359863,4513.759766,4513.759766,3168660000
31/08/2021,4522.680176,4531.390137,4515.799805,4529.75,4290710000
01/09/2021,4524.089844,4537.109863,4522.02002,4528.799805,4057340000
02/09/2021,4536.950195,4545.850098,4524.660156,4534.47998,3735990000
03/09/2021,4535.430176,4541.450195,4521.299805,4532.419922,3217530000
07/09/2021,4520.029785,4535.379883,4513,4535.379883,3822960000
08/09/2021,4514.069824,4521.790039,4493.950195,4518.089844,3750880000
09/09/2021,4493.279785,4529.899902,4492.069824,4513.02002,3735390000
10/09/2021,4458.580078,4520.470215,4457.660156,4506.919922,3623180000
13/09/2021,4468.72998,4492.990234,4445.700195,4474.810059,3914220000
14/09/2021,4443.049805,4485.680176,4435.459961,4479.330078,3670460000
15/09/2021,4480.700195,4486.870117,4438.370117,4447.490234,4032020000
16/09/2021,4473.75,4485.870117,4443.799805,4477.089844,3984560000
17/09/2021,4432.990234,4471.52002,4427.759766,4469.740234,7289530000
20/09/2021,4357.72998,4402.950195,4305.910156,4402.950195,4898070000
21/09/2021,4354.189941,4394.870117,4347.959961,4374.450195,3920920000
22/09/2021,4395.640137,4416.75,4367.430176,4367.430176,3939170000
23/09/2021,4448.97998,4465.399902,4406.75,4406.75,3916350000
24/09/2021,4455.47998,4463.120117,4430.27002,4438.040039,3384290000
27/09/2021,4443.109863,4457.299805,4436.189941,4442.120117,4058650000
28/09/2021,4352.629883,4419.540039,4346.330078,4419.540039,4416550000
29/09/2021,4359.459961,4385.569824,4355.080078,4362.410156,3712660000
30/09/2021,4307.540039,4382.549805,4306.240234,4370.669922,4448140000
01/10/2021,4357.040039,4375.189941,4288.52002,4317.160156,4010370000
